episode,reward
1,-19416.5673685705
2,-40337.07538067835
3,-13018.726631777014
4,-41560.474448390785
5,-22294.46664369855
6,-15402.516080614918
7,-21287.52777000191
8,-18535.443298922473
9,-17405.35767019523
10,-28204.781059293615
11,-20728.76181015351
12,-13058.743999441545
13,-40832.60136331289
14,-50037.79467575868
15,-17201.55476438545
16,-34264.98829349747
17,-42614.56183108478
18,-42517.16038317559
19,-25113.9070709385
20,-19932.29341084248
21,-18335.314135131262
22,-29083.860004986527
23,-38218.748234033716
24,-53069.16006849437
25,-26817.74054359326
26,-23034.056098613415
27,-21027.41608305854
28,-18218.06559687608
29,-29076.641602611027
30,-23781.8909219505
31,-41694.208685130725
32,-31740.921033402126
33,-51246.883954922145
34,-44699.517031221
35,-32463.55926117845
36,-37033.03621964831
37,-21747.900905980245
38,-17000.91638705721
39,-38714.199393197014
40,-13609.78557530869
41,-28847.94975729175
42,-30650.191761782364
43,-38320.528786194656
44,-47992.75173869748
45,-66489.23207024485
46,-29848.793370572075
47,-26175.14007107865
48,-39866.51010362426
49,-20663.29674777842
50,-21187.62528013814
