episode,reward
1,-238.98632173707867
2,-239.04512683803878
3,-246.0687809995572
4,-243.54418689558042
5,-247.66517664029627
6,-247.15791544107674
7,-256.71554928514564
8,-246.93750419288656
9,-243.5176064396766
10,-246.43283359139699
11,-245.88955859728145
12,-246.0641388826542
13,-250.3555116913281
14,-233.39095886482318
15,-245.98414363524483
16,-247.28045342263957
17,-240.4416790303444
18,-247.52640182050482
19,-239.34813929951883
20,-241.40525127442166
21,-248.3023259565625
22,-252.56843033381818
23,-243.06301676068372
24,-255.15625816186355
25,-243.815261909466
26,-243.63624489940275
27,-256.5244204052406
28,-249.97113436485807
29,-249.83334220226314
30,-241.6857828061224
31,-243.6094360051942
32,-244.29655846154094
33,-254.41706520214166
34,-249.51811423518654
35,-245.80561543019923
36,-235.34586761590907
37,-240.31612262802676
38,-251.21228007812385
39,-253.7462021130307
40,-234.76267330395376
41,-245.11364086918462
42,-244.31506376010495
43,-244.09081369895551
44,-242.09456070737866
45,-252.18039435050974
46,-247.469704500751
47,-260.8551587243825
48,-249.60867871188023
49,-253.21127000291088
50,-238.1570032514456
