episode,reward
1,-19276.21106282528
2,-16232.342549931054
3,-17447.582336342406
4,-17657.790197407205
5,-17030.56058199733
6,-16853.368939600117
7,-22115.642838927077
8,-23587.88458629212
9,-22631.814002613322
10,-27911.745767130764
11,-20406.42503215683
12,-18264.789445633465
13,-21141.015659579807
14,-17184.008477781816
15,-14970.237282626978
16,-19004.393309836778
17,-21038.957204926915
18,-22273.325248929967
19,-16953.325681322964
20,-23079.973963983055
21,-22544.35884500365
22,-16758.310477412517
23,-19497.36771524339
24,-23451.965746679693
25,-18288.805932696654
26,-24043.069152626413
27,-20340.56135952622
28,-24030.214932068924
29,-20708.249699825523
30,-15856.011252220012
31,-12801.063504678876
32,-16147.337066339507
33,-20390.43547587577
34,-23414.818709322317
35,-17641.69583091896
36,-18428.48800455239
37,-15225.470228626551
38,-22851.266433955618
39,-12017.490680163513
40,-12356.882639101386
41,-23740.544531520332
42,-24935.671459114485
43,-22361.868054929157
44,-20327.580118369286
45,-17015.037404411967
46,-13243.847487713341
47,-18386.794039839737
48,-21189.632981154617
49,-19136.52235213808
50,-22534.677115930583
51,-17629.27252459606
52,-22730.8532363806
53,-16456.950398847046
54,-20770.82376928826
55,-16123.527005331565
56,-22433.76769312831
57,-21524.46795794838
58,-18494.59300947643
59,-17872.159322073232
60,-27055.97387626781
61,-18724.53638418151
62,-21168.15431535586
63,-22886.09901060972
64,-19921.708379794334
65,-19058.928481157865
66,-16667.099405303303
67,-19094.567734485932
68,-19738.26436147253
69,-24502.336853995417
70,-15418.038626104055
71,-19738.671643901394
72,-13670.494418440188
73,-18324.676606822097
74,-23218.076681449787
75,-18298.502589507247
76,-19264.39819601133
77,-14361.855853722358
78,-19571.891933514584
79,-17247.56433173609
80,-15372.516126980501
81,-20529.134235028476
82,-19690.01942634875
83,-21844.155227710395
84,-15593.340239448764
85,-18708.38828557401
86,-17171.4373802021
87,-26744.793907049578
88,-24245.07453432529
89,-21966.598601407095
90,-16487.11906706098
91,-14907.209179218467
92,-18825.229549749074
93,-22592.151407250363
94,-19519.436747901877
95,-21884.355455241508
96,-15950.211267291177
97,-19800.075670475337
98,-22817.199594055728
99,-20443.51063569013
100,-18058.001508819474
101,-18549.347527131464
102,-18355.159562288813
103,-19191.0303559569
104,-20579.04577979534
105,-23666.234422464346
106,-25078.52080704793
107,-18844.62010130061
108,-18458.02711734691
109,-20247.582741710106
110,-16021.94520975066
111,-23033.86078466132
112,-15383.675255885048
113,-17129.632411367504
114,-18401.34786394273
115,-21552.549849191575
116,-19422.201697031025
117,-18849.096251155483
118,-18737.921242726734
119,-22232.22000168906
120,-26830.3591111998
121,-17563.27892848258
122,-19855.872165764733
123,-19242.098710163526
124,-14369.272912485088
125,-22431.68992624357
126,-14326.6719692736
127,-17436.553990883644
128,-25465.048509247637
129,-16455.92574988921
130,-12722.426024489361
131,-18277.855358860197
132,-29478.7171218675
133,-15659.248827498915
134,-14080.41845353567
135,-17346.820917258952
136,-19016.744884312655
137,-19581.670484094637
138,-24268.75137309885
139,-16909.830224151574
140,-20369.464932485527
141,-30915.33549477079
142,-17775.832805805978
143,-16818.567309291677
144,-16729.881933416505
145,-26406.943020633815
146,-17238.78741821945
147,-19412.11539665684
148,-15760.58232058207
149,-24026.536216498615
150,-23183.648411909708
151,-18247.773364888475
152,-12615.423785296327
153,-18463.936774873942
154,-27048.641614404725
155,-25693.624448027433
156,-21401.92722209405
157,-26053.384588191137
158,-14953.100301331415
159,-16052.591407804535
160,-20891.56856832532
161,-13034.484436992418
162,-18060.392578811927
163,-19441.772658920592
164,-20413.463420374712
165,-15564.527351982604
166,-20727.3733005332
167,-18535.350994211025
168,-15108.573026310189
169,-18236.761644520535
170,-17015.451190926964
171,-25167.39394358364
172,-11464.965225486612
173,-20148.49706885182
174,-19666.917665582296
175,-16664.692039416594
176,-18718.619153176474
177,-22579.20095378557
178,-15187.059630389429
179,-20416.717272381495
180,-19341.935185800725
181,-18122.281954248676
182,-17786.632980834474
183,-14471.99381123279
184,-14366.51422122018
185,-13923.715767152748
186,-22729.291291897487
187,-23462.038778683924
188,-18993.834657651536
189,-20012.923966914277
190,-22900.92179187983
191,-17432.71851126763
192,-12342.786998038644
193,-21277.63484747069
194,-20704.45017680777
195,-14193.639101484376
196,-18804.958860196642
197,-25157.189814595527
198,-21761.61650528738
199,-20956.937524347475
200,-20666.705736255026
201,-21703.4686466423
202,-21755.012847743834
203,-13437.25479291869
204,-12661.42101260148
205,-19208.774352177967
206,-21268.75252630742
207,-19337.002589308344
208,-16856.995780575307
209,-25042.45205034727
210,-19579.709543492132
211,-18968.033569424904
212,-25129.78310476026
213,-19353.192006128207
214,-26693.90293350452
215,-22178.934054070698
216,-17817.5020363651
217,-22592.705693387135
218,-23036.07521340384
219,-17165.562638774783
220,-24411.64146890818
221,-23635.772895756356
222,-27327.523826028635
223,-17977.193713068635
224,-18060.588716396815
225,-17711.317620064307
226,-16946.915431277215
227,-25249.62080736067
228,-21028.328637554136
229,-22098.753811570037
230,-26410.023954892724
231,-22523.51298686322
232,-22991.910125482038
233,-23995.923591913797
234,-17299.978665764116
235,-22582.543056412982
236,-22442.579866531705
237,-19644.799469146183
238,-22342.954175411414
239,-22736.858910294897
240,-21287.559238499434
241,-21981.914607955296
242,-21060.888127067356
243,-27410.86939364205
244,-20819.51559635226
245,-19904.354455678487
246,-24156.928217363322
247,-23792.287588000494
248,-17695.77355516368
249,-23726.491444534528
250,-21640.24632857878
251,-21218.431760871918
252,-22761.850961520817
253,-29600.23836219288
254,-22378.909363505016
255,-21663.305775658424
256,-21756.931507256406
257,-20863.425296647238
258,-18482.545674413024
259,-19823.4749154261
260,-16792.942547458726
261,-18991.355467143803
262,-19670.594976027995
263,-24003.79775759419
264,-23184.13615595901
265,-18901.29443564493
266,-15759.253431859368
267,-23639.954786204173
268,-22218.464087778146
269,-16113.600928572941
270,-23586.042149698133
271,-27501.717845230272
