episode,reward
1,-185.65029920729853
2,-182.7382372635209
3,-202.69106191863384
4,-174.76138017148298
5,-189.17255102534938
6,-189.83128211477538
7,-186.75459386741542
8,-204.63885650539336
9,-206.45742593794506
10,-210.53833026307217
11,-227.79555425424886
12,-204.75663867398166
13,-249.03761944354855
14,-208.27281463573388
15,-204.30585127105184
16,-200.51701476799136
17,-204.52616217891776
18,-216.0194642049612
19,-201.6894135376823
20,-204.0723941187646
21,-215.86738553947364
22,-211.98972103052196
23,-205.66540633748056
24,-237.8900648891623
25,-211.03692730038287
26,-190.464462614843
27,-199.65380545300803
28,-217.11810530088025
29,-208.57416612020896
30,-198.03744354794648
31,-209.8903738261022
32,-205.79681064920732
33,-196.18509549495238
34,-197.348751690236
35,-183.86153842039732
36,-180.4131411076931
37,-188.66784047422752
38,-178.58793366187507
39,-183.9438441672654
40,-189.99964880962995
41,-178.18073641213834
42,-177.6694006302736
43,-174.46644619237196
44,-182.33258495282755
45,-210.7305310826874
46,-212.45549648316646
47,-205.04672665273168
48,-214.34473978533393
49,-209.13921892028455
50,-203.32277385468385
51,-211.36152484643742
52,-215.44850513436734
53,-203.43873676813973
54,-228.99244669813916
55,-214.69630695807368
56,-214.4729768906013
57,-208.25887635509875
58,-202.30129066777616
59,-210.91837738172526
60,-204.16100404285035
61,-205.14507949359142
62,-205.9960742533204
63,-202.4273492203377
64,-213.3452894894744
65,-209.857039006174
66,-213.30797645630184
67,-202.50455070007237
68,-211.37823309097675
69,-207.1511568387702
70,-204.07628484960335
71,-216.92740389931691
72,-215.3817629140024
73,-205.36948480593156
74,-214.08103099464736
75,-223.88539401198676
76,-203.51606843931103
77,-211.65517663676786
78,-209.50993147472286
79,-204.6975490027824
80,-208.44349095803852
81,-208.6131743876947
82,-203.1006383068217
83,-211.07337640457328
84,-214.55969221596547
85,-198.50710672399993
86,-207.20342910929145
87,-202.29704965460405
88,-208.63911991283825
89,-207.80189568203295
90,-236.72468925252443
91,-221.91394338164181
92,-225.69006772843693
93,-215.28506646368402
94,-237.07259450062529
95,-276.2836720906016
96,-230.9586239449992
97,-251.3508005468863
98,-247.78943415640887
99,-243.5850542845792
100,-257.99903400767283
101,-227.0951900918966
102,-239.3805717749897
103,-235.0611492092818
104,-209.9207263797841
105,-220.10916801396056
106,-212.0880439826442
107,-219.32417412442183
108,-225.90689562127235
109,-256.3267226449445
110,-265.07665259910056
111,-223.34557177946672
112,-265.1785650609667
113,-238.4926239469019
114,-260.5801332012185
115,-287.6211329770255
116,-229.52512843553367
117,-223.46038664230568
