episode,reward
1,-15981.81594494512
2,-25379.958891195965
3,-17223.40082070732
4,-21316.445513454066
5,-20319.44933850987
6,-26222.514468997626
7,-16181.257680893657
8,-17410.12751955923
9,-20876.12420979626
10,-17573.584236853883
11,-23072.046225644168
12,-15924.225220527742
13,-24953.316610287413
14,-16696.706421326737
15,-16870.40887434436
16,-22500.95839525671
17,-19813.086623780528
18,-16003.14090372429
19,-20576.387878804508
20,-23964.81339724545
21,-17545.87065493805
22,-20043.71886826378
23,-18883.194654590196
24,-18683.48245600035
25,-23774.267945940304
26,-21078.85767551484
27,-16965.007804033154
28,-19706.224912939997
29,-17243.519455587277
30,-23769.342905549547
31,-20137.492821166084
32,-25654.91748864882
33,-22419.07855802895
34,-21699.183973353025
35,-22778.401110686475
36,-14948.550575671767
37,-15241.561451237509
38,-19359.458799306714
39,-12538.887342767246
40,-20736.726465198208
41,-22337.35882483794
42,-16032.37404902634
43,-17046.526859647794
44,-19771.05863954733
45,-21884.83069710332
46,-16874.84006975235
47,-18908.067106338705
48,-20859.222721852188
49,-22385.206770496057
50,-25345.2539530992
