episode,reward
1,-2834.3333001423853
2,-2965.5665849297416
3,-2906.2433961204515
4,-2331.39753637631
5,-2796.9324379086297
6,-2515.648349816839
7,-2842.0898729322057
8,-2877.4694316355803
9,-2369.4652477273694
10,-2353.915531859031
11,-2691.750678379049
12,-2380.229942269409
13,-2345.22837559452
14,-2830.8494547881455
15,-2328.0322349722287
16,-2398.6873517594663
17,-2333.0593043520203
18,-2343.6120977171327
19,-2991.65366690339
20,-2687.227572002444
21,-2904.185614845452
22,-2292.451698159134
23,-2567.707857670563
24,-2383.6036300586866
25,-2378.3539343096645
26,-2362.5207253123426
27,-2851.4835767096406
28,-2756.1081182169805
29,-2851.9698266601968
30,-2912.5829145797097
31,-2719.1744802689454
32,-2330.7213835036723
33,-2714.658230302691
34,-2357.1830743855644
35,-2314.821868507932
36,-2391.5174772148
37,-2766.254595268842
38,-2779.279546599088
39,-2387.997421665108
40,-2419.6444761122434
41,-2418.753358698888
42,-2849.4199434101774
43,-2863.875631755633
44,-2877.5063960675484
45,-2837.558046849923
46,-2930.46065123976
47,-2393.6276624371644
48,-2935.1078069308437
49,-2306.6413904987367
50,-2450.530268076742
