episode,reward
1,-7245.624702703864
2,-8080.509256045183
3,-7107.667046532672
4,-8037.265191605927
5,-7654.565744145953
6,-7266.114118408086
7,-7107.3971275503745
8,-7241.347253539085
9,-6305.65163913815
10,-6326.842180088044
11,-6368.423501537189
12,-6155.880877852099
13,-6997.3833827298695
14,-6853.312818296983
15,-7404.786068162772
16,-7394.218593518286
17,-5867.73645925323
18,-6318.302255570308
19,-5973.045840410116
20,-5464.63453626934
21,-5691.568086754468
22,-5464.371297997463
23,-5563.923892748377
24,-5852.635143607416
25,-5464.253486451676
26,-6024.142534911421
27,-5899.214474307979
28,-5923.457420085536
29,-5697.05173087301
30,-5746.190105415827
31,-5770.870391921296
32,-5834.819076217864
33,-5971.54945108822
34,-5222.352230431155
35,-5985.174294001796
36,-5277.0588537898575
37,-5206.732324458512
38,-5313.1939176630685
39,-5812.284973417265
40,-5689.32116229152
41,-5695.902581622571
42,-6401.31503204665
43,-6391.0161062681955
44,-5685.049063089271
45,-5903.954613546401
46,-6627.264909556492
47,-5678.666843575503
48,-5296.83962420307
49,-5441.950935172105
50,-5373.152721076425
