episode,reward
1,-59200.72960290313
2,-61564.768566037055
3,-53204.76932763579
4,-39338.10709656855
5,-29331.27747987683
6,-46686.41234998351
7,-49015.03813366897
8,-41454.962696042734
9,-45038.52226818123
10,-42089.503218639766
11,-33097.90433524196
12,-49220.17485212581
13,-62022.41714091571
14,-44729.34560830511
15,-54372.7734497455
16,-34375.01362154444
17,-45685.69549123116
18,-41071.73833784854
19,-37810.443441027266
20,-60527.19409175749
21,-66026.73025684671
22,-75936.5441315644
23,-41858.02517661829
24,-53917.129251709404
25,-22983.72549488814
26,-37231.167324322
27,-24297.86070082167
28,-39311.340209406546
29,-42501.4059815263
30,-46333.291498930106
31,-48957.138105118225
32,-35486.099854492066
33,-45877.19630987916
34,-34390.52630202236
35,-37418.32274098634
36,-30396.392190940234
37,-51093.25678435588
38,-28918.944345159878
39,-34923.49043031154
40,-69611.23483099951
41,-46703.17014136939
42,-44256.15810275309
43,-37808.58136685512
44,-30917.134979278293
45,-46120.209382653964
46,-35291.19369331673
47,-65172.40840961345
48,-39718.37680970066
49,-51898.301018624996
50,-47769.20161163439
