episode,reward
1,-7446.658782074931
2,-6810.64237198982
3,-7425.940235397395
4,-7696.951216487467
5,-7485.5359426362265
6,-7453.859898637057
7,-7611.851002608739
8,-7681.768765767646
9,-7476.4705036144005
10,-7277.288899786425
11,-7526.344093254971
12,-7420.185924757726
13,-7264.190888447676
14,-7001.357846904788
15,-7592.63013568005
16,-7001.049857417284
17,-7326.425168399532
18,-7359.476800228126
19,-7379.8225287281975
20,-7453.772572021223
21,-7699.842935350704
22,-7275.471257966296
23,-7488.298835483674
24,-8058.449031357519
25,-7470.3482040975305
26,-7011.479339039005
27,-7407.7940378025205
28,-7405.716623849901
29,-7703.3575829994925
30,-7376.535455181774
31,-7457.095592067627
32,-7833.390118850042
33,-7464.361775662143
34,-7555.717927156115
35,-7169.127195011616
36,-7056.9963535777815
37,-7387.475684168154
38,-7723.305064612318
39,-7738.922614841075
40,-7189.584617459616
41,-7271.5745982064345
42,-7673.28517418293
43,-7658.732130073572
44,-7304.046733489807
45,-7739.67028770836
46,-7587.969435820382
47,-7575.720289476897
48,-7560.48176626549
49,-7624.345308000363
50,-7283.642095063185
