episode,reward
1,-58835.11054091304
2,-54931.04137402709
3,-53016.11251199236
4,-36865.69267119899
5,-50875.709333730316
6,-38904.73362735965
7,-52533.66256835846
8,-44862.267906096844
9,-46115.392106965315
10,-45540.39970809465
11,-41267.009697614245
12,-39043.24883372096
13,-60263.74921880029
14,-49492.06538714404
15,-53824.272262367434
16,-46745.94351297606
17,-36382.091287028954
18,-48122.54563339954
19,-30304.673106912924
20,-40440.3995164937
21,-52938.728790439745
22,-35432.51818096784
23,-45685.54971322552
24,-47677.44699259602
25,-68526.8238533672
26,-55424.85031124389
27,-41829.652886018936
28,-56075.38122107051
29,-47367.74935197497
30,-52583.256483938814
31,-82339.20281191706
32,-65022.304058469155
33,-45405.7718658377
34,-60414.14820591707
35,-37842.6478615408
36,-48589.72505500831
37,-54565.914749420226
38,-49824.00386867349
39,-44745.09149991138
40,-36036.395795448625
41,-64107.765534724276
42,-34212.93799613539
43,-61942.50565458772
44,-44714.36299301271
45,-36775.217061133386
46,-36040.951339311316
47,-45160.45301271451
48,-47490.18061325151
49,-47317.579250922114
50,-47437.329148828045
