episode,reward
1,-11929.823950246791
2,-11230.497978294017
3,-10850.014552860575
4,-10411.122298181033
5,-10508.301910538712
6,-11211.747156877836
7,-12932.909028095857
8,-11040.042459137927
9,-10955.377746215969
10,-11426.486992809663
11,-11152.83832723032
12,-10563.163374292177
13,-11717.700585502364
14,-10362.950556591673
15,-11319.309102583578
16,-10907.669211655975
17,-11262.232604857007
18,-10891.94908701758
19,-10994.46843688635
20,-10828.382605480574
21,-12446.737935574374
22,-10210.218088580856
23,-10452.777320217381
24,-11882.502557086353
25,-9737.531222276615
26,-11403.078605892524
27,-11465.573654211199
28,-12331.951362046737
29,-10421.085299088094
30,-11079.473981462044
31,-11667.553066685547
32,-11118.16103219818
33,-11256.042214134706
34,-11823.967099608488
35,-10989.294043227379
36,-10080.072930428838
37,-10431.769952570257
38,-12073.802895642935
39,-11224.604737629887
40,-10964.170568035057
41,-10850.319840512766
42,-11395.061095466948
43,-11729.499585641572
44,-10371.151863421073
45,-11588.98551224639
46,-10668.3335886156
47,-11843.17205336245
48,-11380.988016721338
49,-11994.86303462351
50,-11750.153253338927
