veh_id,ADE,FDE,num_predictions
car_0,1076.485,1696.001,300
car_1,1510.861,1616.267,300
car_10,1511.222,1381.017,162
car_11,1339.566,1528.925,300
car_12,1144.112,431.436,300
car_13,1348.452,1261.926,300
car_14,1376.612,1434.156,300
car_15,1071.869,1558.029,300
car_16,908.324,1032.369,300
car_17,1022.462,850.854,300
car_18,1504.974,1618.549,300
car_19,624.089,588.422,300
car_2,1317.878,1343.621,300
car_20,1142.349,1156.003,300
car_21,1241.217,1264.458,300
car_22,1333.369,786.934,300
car_23,1698.38,1518.765,148
car_24,1409.66,1230.141,300
car_25,1274.392,1063.838,300
car_26,1228.144,1563.058,300
car_27,1490.219,1283.184,300
car_28,1452.641,1283.104,300
car_29,1507.822,1259.452,300
car_3,1258.658,1775.009,300
car_30,835.312,775.541,300
car_31,1304.514,1081.233,300
car_32,1105.826,1457.239,300
car_33,1293.647,1302.122,300
car_34,1250.92,1350.602,300
car_35,1269.657,1438.173,300
car_36,1605.901,1078.685,300
car_37,1588.021,1091.408,300
car_38,1309.927,693.63,300
car_39,1063.586,1272.978,300
car_4,1314.492,1140.947,300
car_5,1358.603,1279.114,300
car_6,1082.555,1605.853,300
car_7,1387.624,1167.594,300
car_8,949.193,981.303,300
car_9,1222.958,1136.497,300
