episode,reward
1,-88.88186077598822
2,-89.36043101028918
3,-88.14917867866548
4,-90.02110290479031
5,-89.27360316505892
6,-88.12917048748977
7,-89.80291846557729
8,-87.52525319829499
9,-88.12109980191372
10,-87.42271319003693
11,-82.93255675484149
12,-86.14063082965932
13,-85.18926159591902
14,-87.2546562321562
15,-84.80886623349019
16,-87.80445980782345
17,-87.1195710708914
18,-87.80449702108628
19,-88.43767349212736
20,-89.4166351963697
21,-87.90995968617904
22,-84.71917379160448
23,-88.32516962962801
24,-88.01184417132887
25,-89.4276860428831
26,-86.53917213153487
27,-88.69550266511001
28,-92.66059311156292
29,-91.33385760964761
30,-89.08900132476717
31,-87.47507987969561
32,-87.96010599544577
33,-90.85533744638198
34,-88.30523767808755
35,-85.41326913271485
36,-88.88767398599641
37,-81.83317982782823
38,-84.87315198394776
39,-87.3916166056324
40,-89.49669043461232
41,-89.03934167166138
42,-89.30470954634947
43,-90.89669838945633
44,-90.82011278795349
45,-86.23433282587607
46,-87.01553556858633
47,-89.62456995907998
48,-87.11984253612549
49,-87.66586447972217
50,-89.35288012632664
