episode,reward
1,-110.04257272367259
2,-109.74783663324484
3,-115.4382488210277
4,-118.80264096906095
5,-115.61397896462015
6,-109.48923583933518
7,-110.79947542963941
8,-120.48673332793653
9,-101.86257288971561
10,-101.29921198469914
11,-100.5247862693569
12,-101.5393274302495
13,-102.69174874071601
14,-95.75468610835438
15,-101.1146974558929
16,-90.50363093892024
17,-85.82947883840556
18,-85.63096520114111
19,-78.63422797354613
20,-80.2486350576354
21,-87.6935005970991
22,-85.11900176405386
23,-87.68445853435463
24,-80.4393844171423
25,-92.69894571348212
26,-79.41144127513239
27,-78.76552652123996
28,-90.37902515910255
29,-82.38145885398797
30,-80.49416161009697
31,-77.52658493441454
32,-91.00710288612794
33,-77.24390465869526
34,-86.94804253118771
35,-83.13479206972042
36,-88.64281043082877
37,-77.22089518116918
38,-78.9258021567976
39,-88.1317830060827
40,-85.48049532060061
41,-80.76938726062747
42,-90.17769560427429
43,-81.78270334089444
44,-79.6536530582291
45,-84.41180261460498
46,-96.14749151058139
47,-85.09670656211301
48,-89.50518681048018
49,-92.45695219710714
50,-79.85823508112028
